ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,LAST POI DETAIL,FENSE BREAKING LONGITUDE,FENSE BREAKING LATITUDE,FENSE BREAKING TIME,SPEED WITH TIME STAMP,RETURN TO FENSE WITH TIME STAMP
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.135399,28.5711,2021-12-19 11:41:34,52.0,
RAJGHAT-1,RAJGHAT1,DL1PC3074,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2276,28.669001,2021-12-19 11:37:38,23.0,2021-12-19 11:39:12
RAJGHAT -III,Rajghat3,DL1PD0613,,IP Power House (ITO Ring Road) (U03015),77.317101,28.648701,2021-12-19 11:37:16,11.0,
TEHKHAND ,TEHKHAND,DL1PC7553,,E.S.I. Hospital (U99867),77.283203,28.614401,2021-12-19 11:36:46,39.0,
RAJGHAT -III,Rajghat3,DL1PD0333,,Press Apartment (U03503),77.318298,28.648701,2021-12-19 11:36:40,20.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.277802,28.628799,2021-12-19 11:33:46,33.0,2021-12-19 11:33:49
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.277802,28.628799,2021-12-19 11:33:46,33.0,
TEHKHAND ,TEHKHAND,DL1PC7589,,Kalindi Kunj Border (DTC1368),77.326202,28.555599,2021-12-19 11:33:06,21.0,
TEHKHAND ,TEHKHAND,DL1PC7589,,Kalindi Kunj Border (DTC1368),77.326202,28.555599,2021-12-19 11:33:06,21.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.164299,28.514601,2021-12-19 11:30:53,5.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.253403,28.628201,2021-12-19 11:29:47,42.0,2021-12-19 11:33:21
RAJGHAT -III,Rajghat3,DL1PC6619,,NSIC (U03196),77.318298,28.648701,2021-12-19 11:29:41,10.0,2021-12-19 11:32:01
RAJGHAT-1,RAJGHAT1,DL1PC3353,,Delhi Gate (U02885),77.2658,28.555201,2021-12-19 11:29:36,15.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.248802,28.6287,2021-12-19 11:28:57,34.0,2021-12-19 11:29:59
RAJGHAT -III,Rajghat3,DL1PD0570,,Maharaj Pur Check Post (U03683),77.314598,28.646799,2021-12-19 11:28:54,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.2472,28.6327,2021-12-19 11:28:06,14.0,2021-12-19 11:28:08
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.2472,28.634899,2021-12-19 11:27:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.2472,28.634899,2021-12-19 11:27:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.247101,28.636801,2021-12-19 11:26:51,42.0,2021-12-19 11:27:08
TEHKHAND ,TEHKHAND,DL1PC8077,,,77.303398,28.494301,2021-12-19 11:25:38,9.0,2021-12-19 11:29:41
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.305702,28.635799,2021-12-19 11:22:12,26.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.305702,28.635799,2021-12-19 11:22:12,26.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.305702,28.635799,2021-12-19 11:22:12,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC9895,,Inder Enclave (U00768),77.187302,28.656,2021-12-19 11:20:35,27.0,
RAJGHAT-1,RAJGHAT1,DL1PC9897,,DTC Rajghat Depot (DC3889),77.111603,28.834101,2021-12-19 11:19:53,9.0,
RAJGHAT -III,Rajghat3,DL1PD0571,,Maharaj Pur Check Post (U03683),77.095001,28.746901,2021-12-19 11:19:50,27.0,
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.235001,28.641199,2021-12-19 11:14:39,8.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124496,28.5474,2021-12-19 11:14:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC9874,,ISBT Kashmere Gate (U99914),77.304802,28.6129,2021-12-19 11:13:32,8.0,
RAJGHAT-1,RAJGHAT1,DL1PC9874,,ISBT Kashmere Gate (U99914),77.304802,28.6129,2021-12-19 11:13:32,8.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.3368,28.6196,2021-12-19 11:12:44,23.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.3368,28.6196,2021-12-19 11:12:44,23.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.3368,28.6196,2021-12-19 11:12:44,23.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.336502,28.619301,2021-12-19 11:12:33,9.0,2021-12-19 11:12:33
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.240501,28.6406,2021-12-19 11:12:07,28.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.240501,28.6406,2021-12-19 11:12:07,28.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.240501,28.6406,2021-12-19 11:12:07,28.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.119904,28.5445,2021-12-19 11:11:45,45.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.119904,28.5445,2021-12-19 11:11:45,45.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.119904,28.5445,2021-12-19 11:11:45,45.0,2021-12-19 11:11:57
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,2021-12-19 11:11:41
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,2021-12-19 11:11:41
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,2021-12-19 11:11:07
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.227798,28.6439,2021-12-19 11:10:33,7.0,2021-12-19 11:10:50
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.227798,28.6439,2021-12-19 11:10:33,7.0,2021-12-19 11:13:41
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.117104,28.540899,2021-12-19 11:10:25,36.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.117104,28.540899,2021-12-19 11:10:25,36.0,2021-12-19 11:14:18
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,2021-12-19 11:10:24
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,2021-12-19 11:10:20
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
