ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
CLUSTER,,DL1PC5298,,2021-12-18 23:54:50,28,Sukhdev Vihar Depot (U03249),77.271123,28.554745
CLUSTER,,DL1PD1351,,2021-12-18 23:49:39,23,Najafgarh Delhi Gate (DC3545),76.985683,28.611683
CLUSTER,,DL1PD0859,,2021-12-18 23:43:56,14,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD3056,,2021-12-18 23:40:50,26,New Seema Puri Depot Cluster (U03794),77.331346,28.684794
CLUSTER,,DL1PD1335,,2021-12-18 23:40:02,11,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PC6376,,2021-12-18 23:39:16,40,Kaya Maya Hospital (U03224),77.269017,28.50825
DTC,,DL1PC9646,,2021-12-18 23:34:30,32,Jahangir Puri Metro Station (DC3600),77.161583,28.7273
DTC,,DL1PC9727,,2021-12-18 23:31:45,8,Mangol Puri S Block (U00744),77.082147,28.69249
CLUSTER,,DL1PD1167,,2021-12-18 23:20:23,15,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC7923,,2021-12-18 23:19:55,50,New Friends Colony (U03171),77.2624,28.5667
CLUSTER,,DL1PC6547,,2021-12-18 23:19:03,33,Badarpur Border (T) (U03556),77.304191,28.490559
CLUSTER,,DL1PD0855,,2021-12-18 23:18:43,24,Khera More / Ghuman Hera Crossing (DC3547),76.97521,28.611152
CLUSTER,,DL1PD0272,,2021-12-18 23:16:29,26,Dispensary Paharganj (U02482),77.2133,28.6452
CLUSTER,,DL1PC5258,,2021-12-18 23:15:25,21,Kushak Nallah Depot (DC0098),77.225132,28.580036
CLUSTER,,DL1PD3020,,2021-12-18 23:14:22,19,Dichau Kalan Depot (U00288),76.997763,28.629315
DTC,,DL1PC7318,,2021-12-18 23:13:44,24,Sarojini Nagar Depot (DC4154),77.190001,28.573304
CLUSTER,,DL1PC5339,,2021-12-18 23:09:36,27,Kushak Nallah Depot (DC0098),77.225132,28.580036
CLUSTER,,DL1PC6549,,2021-12-18 23:04:29,41,Prem Nagar (U03331),77.2801,28.5036
CLUSTER,,DL1PD1690,,2021-12-18 22:57:41,7,Okhla Depot IV CWS II (DC1102),77.284767,28.51835
DTC,,DL1PC8089,,2021-12-18 22:56:19,7,Wazirpur Depot (U01528),77.153736,28.691934
CLUSTER,,DL1PC6359,,2021-12-18 22:55:22,34,Gupta Market (U03997A),77.239667,28.56485
DTC,,DL1PC7678,,2021-12-18 22:55:05,42,Wazirpur Depot (U01528),77.153736,28.691934
DTC,Rohini4,DL1PC8801,,2021-12-18 22:51:31,23,Shahbad Daulatpur Gaon (U01065),77.1121,28.745183
CLUSTER,,DL1PD0830,,2021-12-18 22:51:23,10,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD2319,,2021-12-18 22:51:21,26,Gurudwara Nanak Sar (U02931),77.240217,28.7092
CLUSTER,,DL1PD0139,,2021-12-18 22:51:16,25,S O Flats Carriappa Marg/Carriappa Vihar (U01356A),77.139767,28.6003
DTC,,DL1PC8705,,2021-12-18 22:49:51,34,Pushpa Bhawan (U02793PV),77.2312,28.527
CLUSTER,,DL1PC6367,,2021-12-18 22:47:59,33,Prem Nagar (U03331),77.2801,28.5036
DTC,,DL1PC9031,,2021-12-18 22:44:51,37,Wazirpur Depot (U01528),77.153736,28.691934
DTC,,DL1PC7084,,2021-12-18 22:39:25,18,Ambedkar Nagar Terminal (U02702),77.225686,28.515949
CLUSTER,,DL1PC6241,,2021-12-18 22:34:48,0,Sewa Nagar Flyover (U02768),77.2293,28.578783
CLUSTER,,DL1PC6308,,2021-12-18 22:33:13,24,Badarpur Border (T) (U03556),77.304191,28.490559
DTC,,DL1PC7122,,2021-12-18 22:32:24,26,Sarojini Nagar Depot (DC4154),77.190001,28.573304
