ID,SEQ_ID,ROAD_NAME,NUMBER,METER,REMARK,geom,persistentid,DISTANCE_FROM_ORIGIN,length
25317,0,Ring Road,479DOWN,15,,"LINESTRING (77.153687090869809 28.692091325754898, 77.15368026068063 28.692074250281973)",-1357519944,2,2
25318,1,Ring Road,479DOWN,15,,"LINESTRING (77.15368026068063 28.692074250281973, 77.153284109708778 28.690575023759155, 77.153092864412017 28.689823702950456, 77.15273769457518 28.688341551900564, 77.152587430413433 28.687781476388622, 77.152396185116672 28.687457042403047, 77.152198109630746 28.68718724993083, 77.151747317145521 28.6867842687698)",-1357519944,641,639
25319,2,Ring Road,479DOWN,14,,"LINESTRING (77.151747317145521 28.6867842687698, 77.151071128417684 28.686319815906238)",-1357519944,732,91
25320,3,Ring Road,479DOWN,14,,"LINESTRING (77.151071128417684 28.686319815906238, 77.150995996336817 28.686268589487462)",-1357519944,742,10
25321,4,Ring Road,479DOWN,14,,"LINESTRING (77.150995996336817 28.686268589487462, 77.150907203877608 28.686213947974103)",-1357519944,753,11
25322,5,Ring Road,479DOWN,14,,"LINESTRING (77.150907203877608 28.686213947974103, 77.15060667555413 28.686005627204416, 77.149937317015471 28.685551419624613, 77.149308939611828 28.685138193179824)",-1357519944,967,214
25323,6,Ring Road,479DOWN,14,,"LINESTRING (77.149308939611828 28.685138193179824, 77.148960599964155 28.684912796937216)",-1357519944,1013,46
25324,7,Ring Road,479DOWN,14,,"LINESTRING (77.148960599964155 28.684912796937216, 77.148864977315782 28.684844495045514)",-1357519944,1026,13
25325,8,Ring Road,479DOWN,10,,"LINESTRING (77.148864977315782 28.684844495045514, 77.148728373532379 28.684752287491719, 77.146727128105567 28.683393079846887, 77.146412939403746 28.683177928888032, 77.146119241269432 28.682979853402102, 77.143455467493126 28.681193758934143)",-1357519944,1752,726
25326,9,Ring Road,479DOWN,10,,"LINESTRING (77.143455467493126 28.681193758934143, 77.143407656168932 28.681159607988295)",-1357519944,1758,6
25327,10,Ring Road,479DOWN,10,,"LINESTRING (77.143407656168932 28.681159607988295, 77.143366675033917 28.681132287231613)",-1357519944,1763,5
25328,11,Ring Road,479DOWN,15,,"LINESTRING (77.143366675033917 28.681132287231613, 77.143066146710439 28.680923966461929, 77.142909052359528 28.680790777773112, 77.14276561838696 28.680681494746391, 77.142635844792721 28.680579041908842, 77.142307995712571 28.680223872072002, 77.142103090037466 28.679872117329747, 77.141973316443227 28.679619400330456, 77.1418230522815 28.679182268223574, 77.14178207114648 28.679042249345589, 77.1417069390656 28.678837343670491, 77.141549844714689 28.678369475712344, 77.141221995634538 28.677396173755618, 77.141105882418643 28.676941966175811)",-1357519944,2309,546
25329,12,Ring Road,479DOWN,4.5,,"LINESTRING (77.141105882418643 28.676941966175811, 77.1402042974482 28.674022060305631, 77.14014282574567 28.6738239848197, 77.140088184232312 28.673663475374205, 77.140013052151446 28.673472230077444, 77.139623731368744 28.672539909255736, 77.139603240801236 28.672475022458624, 77.138886070938383 28.670784550639045, 77.138510410534039 28.670159588329987, 77.138148410508023 28.669701965655598, 77.13796399540044 28.669493644885911)",-1357519944,3215,906
25330,13,Ring Road,479DOWN,18,,"LINESTRING (77.13796399540044 28.669493644885911, 77.137376599131812 28.668960890130652)",-1357519944,3303,88
25331,14,Ring Road,479DOWN,10,,"LINESTRING (77.137376599131812 28.668960890130652, 77.137362938753469 28.668732078793454, 77.137137542510871 28.668544248591282)",-1357519944,3361,58
25332,15,Ring Road,479DOWN,10,,"LINESTRING (77.137137542510871 28.668544248591282, 77.1365842971881 28.66805930516021)",-1357519944,3442,81
25333,16,Ring Road,479DOWN,10,,"LINESTRING (77.1365842971881 28.66805930516021, 77.136031051865316 28.667594852296649)",-1357519944,3522,80
25334,17,Ring Road,479DOWN,9,,"LINESTRING (77.136031051865316 28.667594852296649, 77.1357851650552 28.667376286243208)",-1357519944,3558,36
25335,18,Ring Road,479DOWN,9,,"LINESTRING (77.1357851650552 28.667376286243208, 77.134958712165627 28.666631795623676, 77.134583051761282 28.666607889961583)",-1357519944,3723,165
25336,19,Ring Road,479DOWN,12,,"LINESTRING (77.134583051761282 28.666607889961583, 77.133927353600953 28.666051229544227)",-1357519944,3818,95
25337,20,Ring Road,479DOWN,20,,"LINESTRING (77.133927353600953 28.666051229544227, 77.1332784856298 28.665518474788964)",-1357519944,3911,93
25338,21,Ring Road,479DOWN,8,,"LINESTRING (77.1332784856298 28.665518474788964, 77.133230674305622 28.66533747477596)",-1357519944,3931,20
25339,22,Ring Road,479DOWN,8,,"LINESTRING (77.133230674305622 28.66533747477596, 77.133169202603085 28.665118908722519)",-1357519944,3956,25
25340,23,Ring Road,479DOWN,8,,"LINESTRING (77.133169202603085 28.665118908722519, 77.131775844012409 28.663971436941956, 77.131400183608051 28.663657248240135, 77.131345542094692 28.663609436915944)",-1357519944,4219,263
25341,24,Ring Road,479DOWN,12,,"LINESTRING (77.131345542094692 28.663609436915944, 77.130976711879512 28.663288418024955)",-1357519944,4273,54
25342,25,Ring Road,479DOWN,12,,"LINESTRING (77.130976711879512 28.663288418024955, 77.130949391122826 28.663267927457444, 77.130949391122826 28.663264512362861)",-1357519944,4277,4
