ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,POI NAME,POI longitude,POI latitude,POI TIME STAMP,POI SPEED
CLUSTER,Rajghat3,DL1PD0333,534UP_G,Press Enclave (U02389),77.2079,28.5279,19-12-2021 13:24,36
DTC,Subhash Place,DL1PC0039,39DOWN_D,Radhu Palace (DC4268),77.28546,28.636446,19-12-2021 13:24,9
DTC,KeshoPur,DL1PC7246,442_UP_P1_D,RR Line (U99893A),77.155333,28.60415,19-12-2021 13:24,53
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,Lodhi Road Crossing (U02644),77.2237,28.592,19-12-2021 13:24,30
CLUSTER,Rajghat3,DL1PD0098,261DOWN_G,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2437,28.639867,19-12-2021 13:23,36
DTC,WAZIRPUR,DL1PC7687,191UP_P2_,Rohini Depot-II (DC4625),77.121817,28.7299,19-12-2021 13:23,27
CLUSTER,Seemapuri,DL1PD3049,847UP_G,Inderlok (DC0073),77.1667,28.6708,19-12-2021 13:23,6
CLUSTER,Rajghat3,DL1PC6619,534UP_G,Hauz Rani (U02525),77.2159,28.5294,19-12-2021 13:23,28
CLUSTER,Dilshad Gardan,DL1PC6647,311AUP_C,Majeedia Hospital (U03057),77.252617,28.515017,19-12-2021 13:23,27
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,Batra Hospital / Satya Narayan Mandir (U02957),77.2433,28.5124,19-12-2021 13:23,13
CLUSTER,BBM2,DL1PD2274,258UP_G,Sabhapur More (DC3741),77.243933,28.75015,19-12-2021 13:23,27
DTC,AND,DL1PC7041,519DOWN_D,PTS (DC5148),77.195504,28.532964,19-12-2021 13:23,15
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Saidul-A-Jab / Saket Metro Station (DC4752),77.20203,28.520753,19-12-2021 13:23,33
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Shastri Park Metro Depot (U02948),77.241183,28.673433,19-12-2021 13:23,37
CLUSTER,Rajghat3,DL1PD0333,534UP_G,Saket A block(Malviya Nagar Metro Station) (U02289),77.2052,28.5278,19-12-2021 13:23,24
DTC,KeshoPur,DL1PC7246,442_UP_P1_D,Garrision Eng. (U99942),77.147491,28.605333,19-12-2021 13:22,48
DTC,Sarojani Nagar,DL1PC7848,578DOWN_G,SJ Hospital (U02309),77.204517,28.569483,19-12-2021 13:22,6
CLUSTER,Seemapuri,DL1PD2587,205A_DOWN_C,Madarsa / Welcome Seelam Pur (DC3993),77.273917,28.680583,19-12-2021 13:22,29
CLUSTER,Rajghat3,DL1PC0272,212DOWN_C,Jhilmil Xing (U03689),77.3174,28.6761,19-12-2021 13:22,25
