name,City,Telephone,Address
Sainik Food,Delhi NCR,011 22486474 +91 9717806814,"C 4/1, Opposite Mother Dairy, Pandav Nagar, New Delhi"
Brij Palace Restaurant,Delhi NCR,+91 9891828106,"4, Okhla Bus Stand, Jamia Nagar, Near, Jasola, New Delhi"
Sahib Hotel,Delhi NCR,+91 9670005455,"121, Amrit Kaur Market, Opposite New Delhi Railway Station Gate 4, Paharganj, New Delhi"
The Food Story,Delhi NCR,+91 7065545356,"Booth 100, Sector 17, Faridabad"
Manish Indian & Chinese Food Corner,Delhi NCR,+91 9319546373,"K 2, Mata Chowk, Near Maximum Muscles Gym, Mahipalpur, New Delhi"
Way To Waffles,Delhi NCR,+91 9999835784 +91 8287183270,"15, Sector 3/A, Rachna, Vashali, Ghaziabad"
Food Fantasy,Delhi NCR,00 1122794990 00 1122700251,"P-35-36, Opposite Fine Home Apartments, Mayur Vihar Phase 1, New Delhi"
Friend Z Cafe,Delhi NCR,Not Available,"Opposite DTU College, Shahbad, Daulatpur, Sector 17, Rohini, New Delhi"
Nutritious Bites,Delhi NCR,+91 9999610006,"F - 10/18, Sector 15, Rohini, New Delhi"
Bombay's Royal China,Delhi NCR,+91 9599917178 +91 9599917179,"Shop 76, DDA Market, Prashant Vihar, New Delhi"
Gazzab Family Restaurant,Delhi NCR,Not Available,"Opposite Dashrathpuri, Metro Station, Palam Dabri Road, Palam"
The Bunk House,Delhi NCR,+91 9811147022 +91 9911081199,"2nd Floor, Bulding 6, Hauz Khas Village, New Delhi"
AIR- An Ivory Region,Delhi NCR,011 66103930,"1/83, Third Floor, Club Road, West Punjabi Bagh, Punjabi Bagh, New Delhi"
Pizza Galleria,Delhi NCR,+91 9355717999 +91 9355727999,"Lower Ground Floor 11 & 40, Galleria Market, Gaur City 2, Greater Noida"
Chakkhna : Beyond Peanuts,Delhi NCR,0124 4037897 +91 9999700302,"110, 1st Floor, Chakkhna, The Sapphire Mall, Opposite Orchid Petals, Sector 49, Gurgaon"
Truffle Tangles,Delhi NCR,+91 9871567512,"Flat 122, Jasmanium 2, Vatika City, Sector 49, Near Sohna Road, Gurgaon"
Foodee Hub,Delhi NCR,+91 9821074728 +91 9711629181,"C 31, Block B, Shisha Godam Road, Bhagwati Garden, Nawada, Uttam Nagar, New Delhi"
Anand Special Nasta,Delhi NCR,+91 8860980781,"B 19, Som Bazar Road, Rajapuri, Uttam Nagar, New Delhi"
Taste Of Kerala,Delhi NCR,+91 9818070821,"Opp BPTP Entrance Gate, Tigaon Road, Sector 82 , Faridabad, Faridabad"
Pepper And Salt,Delhi NCR,+91 8586888311 +91 9810409500,"Shop 3, Club House Palm Olympia, Greater Gaur City- 2, Noida West, Gaur City 2, Greater Noida"
Capri Chef Cart,Delhi NCR,+91 9818258261 011 65879272,"Near Oxford School, F Block, Vikaspuri, New Delhi"
Wah Shah Ji Wah,Delhi NCR,+91 9211557048 +91 9266131618,"WZ-179, Mukherji Park, Punjabi Market Road, Tilak Nagar, New Delhi"
Food Swag,Delhi NCR,+91 9999104365,"Main Road, Near Kangna Grand Banquet Hall, Uttam Nagar, New Delhi"
Pizza Tree,Delhi NCR,+91 9999139198,"Ground Floor, Shop 6, VDS Market, Sector 51, Noida"
Black Paper,Delhi NCR,+91 9654292303,"Shop 5, 1st Floor, A block Market, Opposite Manas Hospital, Sector 34, Noida"
Vivoo Chicken Corner,Delhi NCR,+91 9650464848,"Shop 1, Raja Nahar Singh Market Near Ram Mandir, Sector 3, Ballabhgarh, Faridabad"
Biryani & Kormas,Delhi NCR,+91 9773625438,"B 116, Basement, Greenfield Colony, Sector 43, Faridabad"
eat.fit,Delhi NCR,Not Available,"Grand Mall, Near Sikanderpur Metro Station, MG Road, Gurgaon"
Aggarwal Cake Village,Delhi NCR,+91 9560246196 +91 9560830523,"F-2/20, Mohan Garden, Pipal Wala Road, Uttam Nagar, New Delhi"
Maa Sheetla Sweets & Caterers,Delhi NCR,+91 9213020715 +91 9810337088,"Sheetla Mata Road, Rajeev Nagar, Sector 14, Gurgaon"
Rehdiwalaa.com,Delhi NCR,+91 9879631737,"Unit 35 & 36, Centrum Plaza, Golf Course Road, Sector 53, Gurgaon"
King's Shawarma,Delhi NCR,+91 8882853504,"R-10/F-62, Block 10, Sector 10, Raj Nagar, Near Om Sweet Ghaziabad"
Shri Ram Bikaner Sweet & Snacks,Delhi NCR,+91 9990139109,"D 26, IP Colony, Sector 31, Faridabad"
Taj Biryani Center,Delhi NCR,+91 8447803992,"Shop 1, Islampur Village, Near Honda Showroom, Subhash Chowk, Sector 38, Near Sector 33, Gurgaon"
Eat & Gulp,Delhi NCR,+91 9711676496 +91 8368023498,"Shop A-11, Street 9, Sanjay Nagar Road, Mahindra park, Azadpur, New Delhi"
Caesar's Kitchen,Delhi NCR,0120 4148676,"3rd Floor, The Great India Place, Sector 38, Noida"
Jain Sweets & Bakers,Delhi NCR,011 41041474 +91 9540144202,"A Block, Near Main Red Light Chowk, Opposite Vishal Mega Mart, Mahipalpur, New Delhi"
Punjabi Wok,Delhi NCR,+91 9811443384 +91 9811443385,"Shop 15/27, Central Market, Near Deep Market, Ashok Vihar Phase 1, New Delhi"
The Real Heavens,Delhi NCR,+91 8076597771 +91 8700756520,"Shop no.1, 1st floor opposite pillar no 226, Hoshiarpur market Sec 51 Noida."
Rubaab Restaurant,Delhi NCR,011 66103527,"S-2, 1st Floor, Gamma Shopping Complex, Jagat Farm Main Market, Above Canara Bank, Gamma 1, Greater Noida"
Welcome Chicken Corner,Delhi NCR,+91 9266110055,"Shop 27, C Block Market, East of Kailash, New Delhi"
Domino's Pizza,Delhi NCR,0120 4803255 18602100000,"C-2/22, Sector 18, Noida"
Swad Food & Caterers,Delhi NCR,+91 7838776669 +91 9818110729,"G 45, Vishal Tower, District Centre, Janakpuri, New Delhi"
Jai Shree Ram Sweets,Delhi NCR,+91 9953145640 +91 9250529340,"Near Shiv Mandir, Sheetla Mata Road, Rajeev Nagar, Sector 14, Gurgaon"
Red Chilli Hub,Delhi NCR,+91 8800147345,"2/137, Block 2, Sector 5, Dakshinpuri, Tughlakabad Institutional Area, New Delhi"
Sonu Shudh Bhojanalya,Delhi NCR,+91 9810541284,"A-786, GD Colony, Near Hanuman Mandir, Mayur Vihar Phase 3, New Delhi"
Shree Radhey Shyam Dhaba,Delhi NCR,Not Available,"L 9, Sundar Singh Market, Mahipalpur, New Delhi"
Punjabi Factory,Delhi NCR,+91 9643323323,"CSC-8, DDA Market, Opposite Remal Public School, 2nd Floor, Sector 3, Rohini, New Delhi"
Pizza Terminal,Delhi NCR,011 22503012 +91 9718508297,"F-12, Jagatpuri Parwana Road, Near Reliance Fresh, Laxmi Nagar, New Delhi"
Deseez,Delhi NCR,+91 9599299000,"702, Near Qutub Auto, Jharsa, Sector 39, Gurgaon"
Chefs and Cooks Caterers,Delhi NCR,00 919711704006,"35/36, R-3 A2, Street 4, Mohan Garden, Uttam Nagar, New Delhi"
The Parantha Corner,Delhi NCR,+91 7838670006 +91 9911670006,"Shop 2, B-2/99, Sector 16, Rohini, New Delhi"
Biryani 99,Delhi NCR,+91 9999777636,"195, Jaipuria Sunrise Plaza, Indirapuram, Ghaziabad"
Kitchen22,Delhi NCR,+91 9266661780 +91 9212136061,"Near A Block Club Defence Colony, New Delhi"
Chinese Express,Delhi NCR,+91 9716485669,"Shop 31, 28-29 Dividing Road, Sector 19, Faridabad"
Kadimi Sweets,Delhi NCR,+91 9212396988 +91 9811355160,"38, Central Road, Jangpura, New Delhi"
Bikanervala,Delhi NCR,0124 4337777,"Plot 3-5, Near Leisure Valley Park, Sector 29, Gurgaon"
Brewtoast,Delhi NCR,+91 9811530183 +91 9953998675,"C 11, Shop 2, Lajpat Nagar 4, Amar Colony, New Delhi"
Ayde's,Delhi NCR,+91 9716551000,"1186, Najafgarh-Kapashera Road, Bijwasan, Near Palam Apartment, Kapashera, New Delhi"
Shera Ki Rasoi,Delhi NCR,+91 8009151993 +91 9891086702,"House L 73, Master Ji Building, Plot L 3, Street 1, Mahipalpur, New Delhi"
Cheese Central,Delhi NCR,+91 9899020505,"Shop 1, Bhati Market, Sahedra Village, Opposite Paras Tierea, Sector 141 Sector 132, Noida"
The Tummy Tickles,Delhi NCR,+91 9711685370,
Muradabad Ki Shahi Chicken Biryani,Delhi NCR,+91 9891337986 +91 7065945043,"J-11-A, Phase 2, Sheikh Sarai, New Delhi"
Cafe L2L,Delhi NCR,+91 9910130279 00 1204185334,"B 7, First Floor, Near Sector 15 Metro Station, Sector 2, Noida"
Sweet Sins,Delhi NCR,+91 9810293932,"Pocket 12, Kalkaji, New Delhi"
Anda's Funda,Delhi NCR,+91 8077327405 +91 9783810516,"A 56, 2nd Floor, Old Double Storey, Lajpat Nagar 4, New Delhi"
Essen Foods,Delhi NCR,+91 9871600595 +91 9818624168,"Shop 2, Vill Mamura, Sector 66, Near Sector 59, Noida"
Patiala Food Factory,Delhi NCR,+91 9868456777 +91 8802616953,"G27, Vardhaman City Plus Mall, Sector 23, Dwarka"
S V Fast Food,Delhi NCR,+91 8527308744,"10, Ground Floor, Shakti Khand 3, Indirapuram, Ghaziabad"
Goms Pizza,Delhi NCR,+91 7290990990,"Shop 2, Gambhir Singh Market, Behind Stellar Jeevan & Ace City, Sector 1, Amrapali Leisure Valley, Greater Noida"
Atipriya's Kitchen,Delhi NCR,+91 7290849083,"D-53, First Floor, Rana Pratap Road, Adarsh Nagar, Azadpur, New Delhi"
Arabitia Caf̩,Delhi NCR,+91 8448067878,"LOTS Wholesale Building, Near NSP Red Line Metro Station Gate 2 & 3, Netaji Subhash Place, New Delhi"
Bharawaan Di Rasoi,Delhi NCR,+91 8929522573 +91 8929522574,"Plot 11, 18/2 Sector 15A, Sector 15, Faridabad"
Bahaar Restaurant,Delhi NCR,Not Available,"Near Sikanderpur Metro Station, MG Road, Gurgaon"
Hauz Khas Social,Delhi NCR,+91 7838652814,"9-A & 12, Hauz Khas Village, New Delhi"
Time Out Cafe,Delhi NCR,0120 4345283 +91 7838268059,"Plot 22, Near Ashiana Green, Ahinsa Khand 2, Indirapuram, Ghaziabad"
Crazy Bhukkhad,Delhi NCR,+91 9821464561,"Near Gehlot Farm, Sector 47, South City 2, Gurgaon"
South Indian Corner,Delhi NCR,011 32328086 +91 9810303556,"26, DDA Market, Sector 13, Rohini, New Delhi"
Chennai Food Palace,Delhi NCR,+91 9891571124,"Shop 31, Sector 3-A, Vaishali, Ghaziabad"
Melting Flavours,Delhi NCR,+91 7290802802 +91 7290802803,"Plot 107/3, Near Petals Play School, Sector 142, Near Sector 132, Noida"
Cherubs,Delhi NCR,+91 7011559437 +91 9205922747,"11A/22, Shop 2, Old Rajinder Nagar New Delhi"
Bake Bite,Delhi NCR,+91 9599249449 +91 9599210548,"Shop D95, Krishna Park, Near Radha Krishna Mandir, Devli Road, Khanpur, New Delhi"
Shiv Shakti Restaurant,Delhi NCR,+91 9968473939,"11, DDA Market, Pocket 4, Mayur Vihar Phase 1, New Delhi"
Tawa Wok,Delhi NCR,0124 4989267,"Tatvam Villas, Dhani, Sector 48, Near Sector 50, Gurgaon"
Spice & Tandoor,Delhi NCR,+91 8588877513,"MSX Tower 1, Alfa Commercial Belt, Alpha 1, Greater Noida"
Biryaniya,Delhi NCR,+91 9650892300,"Supermart 2, DLF Phase 4, Gurgaon"
Mosaic Express- By Crowne Plaza,Delhi NCR,011 44884488 +91 8800696918,"Crowne Plaza, Twin District Centre, Sector 10, Rohini, New Delhi"
Knight Delight Kafe,Delhi NCR,+91 9582449394 0124 4263394,"Sector 4 & 5 Chowk, Station Road, Old Railway Road, Gurgaon"
