name,city,Review
Sainik Food,Delhi NCR,Good
Kunal's Creamery & Eatery,Mumbai,Good
Brij Palace Restaurant,Delhi NCR,Good
Sahib Hotel,Delhi NCR,Good
Chunky's,Kolkata,Bad
The Food Story,Delhi NCR,Bad
Manish Indian & Chinese Food Corner,Delhi NCR,Bad
Applemint,Mumbai,Bad
Way To Waffles,Delhi NCR,Good
Food Fantasy,Delhi NCR,Good
Curry And Combos Twist,Mumbai,Good
Friend Z Cafe,Delhi NCR,Good
Bunty Fast Food Centre,Kolkata,Bad
Nutritious Bites,Delhi NCR,Bad
Bombay's Royal China,Delhi NCR,Bad
Food Village,Kolkata,Bad
Gazzab Family Restaurant,Delhi NCR,Good
The Bunk House,Delhi NCR,Good
AIR- An Ivory Region,Delhi NCR,Good
Pizza Galleria,Delhi NCR,Good
Brijwasi Sweets,Mumbai,Bad
Chakkhna : Beyond Peanuts,Delhi NCR,Bad
Truffle Tangles,Delhi NCR,Bad
Pizzaman,Kolkata,Bad
Foodee Hub,Delhi NCR,Good
Anand Special Nasta,Delhi NCR,Good
Taste Of Kerala,Delhi NCR,Good
Pepper And Salt,Delhi NCR,Good
Capri Chef Cart,Delhi NCR,Bad
Wah Shah Ji Wah,Delhi NCR,Bad
Food Swag,Delhi NCR,Bad
Pizza Tree,Delhi NCR,Bad
Coffee House,Mumbai,Good
Black Paper,Delhi NCR,Good
Vivoo Chicken Corner,Delhi NCR,Good
The 6 Russel Street,Kolkata,Good
EggOMogo,Mumbai,Bad
The Biryani Darbar,Kolkata,Bad
Biryani & Kormas,Delhi NCR,Bad
eat.fit,Delhi NCR,Bad
Aggarwal Cake Village,Delhi NCR,Good
Kachhomal Sweets,Mumbai,Good
Maa Sheetla Sweets & Caterers,Delhi NCR,Good
Crispy Masala Chicken,Kolkata,Good
Rehdiwalaa.com,Delhi NCR,Bad
King's Shawarma,Delhi NCR,Bad
Shri Ram Bikaner Sweet & Snacks,Delhi NCR,Bad
Taj Biryani Center,Delhi NCR,Bad
Eat & Gulp,Delhi NCR,Good
Caesar's Kitchen,Delhi NCR,Good
Jain Sweets & Bakers,Delhi NCR,Good
Punjabi Wok,Delhi NCR,Good
The Real Heavens,Delhi NCR,Bad
M's Kitchen,Mumbai,Bad
Rubaab Restaurant,Delhi NCR,Bad
Petuk Food Parlour,Kolkata,Bad
Rashmin The Mithai Shop,Mumbai,Good
Cookie Man,Kolkata,Good
Ayub's,Mumbai,Good
Welcome Chicken Corner,Delhi NCR,Good
Domino's Pizza,Delhi NCR,Bad
Swad Food & Caterers,Delhi NCR,Bad
Jai Shree Ram Sweets,Delhi NCR,Bad
M/S Binode Behari Nag Ganesh Chandra Dutta,Kolkata,Bad
Red Chilli Hub,Delhi NCR,Good
Sonu Shudh Bhojanalya,Delhi NCR,Good
Shree Radhey Shyam Dhaba,Delhi NCR,Good
Punjabi Factory,Delhi NCR,Good
Pizza Terminal,Delhi NCR,Bad
Dunlop Hotel and Restaurant,Kolkata,Bad
Deseez,Delhi NCR,Bad
Chefs and Cooks Caterers,Delhi NCR,Bad
The Parantha Corner,Delhi NCR,Good
Biryani 99,Delhi NCR,Good
